subject,id,level,sa,choices,totalTrials_Pre,totalHits_Pre,totalFailures_Pre,totalTrials_Post,hitsPost,failuresPost
ah,N1,1,800,3,378,375,3,578,576,2
ah,N1,1,1000,2,96,96,0,579,576,3
ah,N1,1,600,3,400,392,8,582,576,6
ah,N1,1,400,4,383,368,15,270,263,7
ah,N1,1,300,4,350,328,22,0,0,0
ah,N1,1,200,4,9,8,1,0,0,0
ah,N1,2,800,3,380,375,5,593,576,17
ah,N1,2,1000,2,96,96,0,577,576,1
ah,N1,2,600,3,407,392,15,587,576,11
ah,N1,2,400,4,401,363,38,298,281,17
ah,N1,2,300,4,324,299,25,0,0,0
ah,N1,2,200,4,0,0,0,0,0,0
ah,N1,3,800,3,379,378,1,589,576,13
ah,N1,3,1000,2,96,96,0,578,576,2
ah,N1,3,600,3,408,392,16,590,576,14
ah,N1,3,400,4,388,352,36,290,275,15
ah,N1,3,300,4,340,297,43,0,0,0
ah,N1,3,200,4,0,0,0,0,0,0
ll,N7,1,800,3,396,396,0,582,576,6
ll,N7,1,1000,2,132,132,0,578,575,3
ll,N7,1,600,3,445,440,5,578,576,2
ll,N7,1,400,4,535,527,8,336,331,5
ll,N7,1,300,4,432,424,8,0,0,0
ll,N7,1,200,4,96,86,10,0,0,0
ll,N7,2,800,3,398,396,2,594,576,18
ll,N7,2,1000,2,133,132,1,601,575,26
ll,N7,2,600,3,445,440,5,591,576,15
ll,N7,2,400,4,542,527,15,318,312,6
ll,N7,2,300,4,404,398,6,0,0,0
ll,N7,2,200,4,118,105,13,0,0,0
ll,N7,3,800,3,398,396,2,600,576,24
ll,N7,3,1000,2,132,132,0,604,576,28
ll,N7,3,600,3,444,440,4,591,576,15
ll,N7,3,400,4,537,528,9,383,367,16
ll,N7,3,300,4,432,414,18,0,0,0
ll,N7,3,200,4,103,98,5,0,0,0
it,N6,1,800,3,578,575,3,578,576,2
it,N6,1,1000,2,576,576,0,576,576,0
it,N6,1,600,3,576,572,4,579,576,3
it,N6,1,400,4,221,219,2,410,402,8
it,N6,1,300,4,0,0,0,0,0,0
it,N6,1,200,4,0,0,0,0,0,0
it,N6,2,800,3,583,575,8,583,576,7
it,N6,2,1000,2,576,576,0,576,576,0
it,N6,2,600,3,590,576,14,580,576,4
it,N6,2,400,4,226,204,22,430,415,15
it,N6,2,300,4,0,0,0,0,0,0
it,N6,2,200,4,0,0,0,0,0,0
it,N6,3,800,3,598,576,22,586,576,10
it,N6,3,1000,2,576,576,0,576,576,0
it,N6,3,600,3,590,576,14,579,576,3
it,N6,3,400,4,243,224,19,441,428,13
it,N6,3,300,4,0,0,0,0,0,0
it,N6,3,200,4,0,0,0,0,0,0
sm,N9,1,800,3,397,396,1,579,576,3
sm,N9,1,1000,2,0,0,0,577,576,1
sm,N9,1,600,3,553,516,37,576,576,0
sm,N9,1,400,4,451,439,12,334,332,2
sm,N9,1,300,4,426,405,21,0,0,0
sm,N9,1,200,4,39,33,6,0,0,0
sm,N9,2,800,3,399,396,3,613,576,37
sm,N9,2,1000,2,0,0,0,593,576,17
sm,N9,2,600,3,408,396,12,593,576,17
sm,N9,2,400,4,550,528,22,478,459,19
sm,N9,2,300,4,504,472,32,0,0,0
sm,N9,2,200,4,13,11,2,0,0,0
sm,N9,3,800,3,397,396,1,589,576,13
sm,N9,3,1000,2,0,0,0,610,576,34
sm,N9,3,600,3,410,396,14,592,576,16
sm,N9,3,400,4,562,526,36,447,432,15
sm,N9,3,300,4,484,452,32,0,0,0
sm,N9,3,200,4,18,15,3,0,0,0
sr,N10,1,800,3,576,575,1,578,576,2
sr,N10,1,1000,2,189,189,0,576,576,0
sr,N10,1,600,3,579,575,4,576,576,0
sr,N10,1,400,4,408,393,15,384,383,1
sr,N10,1,300,4,68,60,8,0,0,0
sr,N10,1,200,4,0,0,0,0,0,0
sr,N10,2,800,3,577,576,1,580,576,4
sr,N10,2,1000,2,192,192,0,577,576,1
sr,N10,2,600,3,581,576,5,579,576,3
sr,N10,2,400,4,477,460,17,406,395,11
sr,N10,2,300,4,132,127,5,0,0,0
sr,N10,2,200,4,0,0,0,0,0,0
sr,N10,3,800,3,580,576,4,582,575,7
sr,N10,3,1000,2,192,192,0,577,576,1
sr,N10,3,600,3,581,576,5,579,576,3
sr,N10,3,400,4,458,448,10,400,392,8
sr,N10,3,300,4,172,158,14,0,0,0
sr,N10,3,200,4,0,0,0,0,0,0
ez,N5,1,800,3,397,396,1,576,576,0
ez,N5,1,1000,2,132,132,0,576,576,0
ez,N5,1,600,3,447,440,7,578,576,2
ez,N5,1,400,4,539,528,11,197,195,2
ez,N5,1,300,4,364,351,13,0,0,0
ez,N5,1,200,4,71,65,6,0,0,0
ez,N5,2,800,3,397,396,1,579,576,3
ez,N5,2,1000,2,132,132,0,576,576,0
ez,N5,2,600,3,448,440,8,579,576,3
ez,N5,2,400,4,548,528,20,240,230,10
ez,N5,2,300,4,375,366,9,0,0,0
ez,N5,2,200,4,70,64,6,0,0,0
ez,N5,3,800,3,399,396,3,579,576,3
ez,N5,3,1000,2,132,132,0,576,576,0
ez,N5,3,600,3,448,439,9,579,576,3
ez,N5,3,400,4,549,528,21,198,191,7
ez,N5,3,300,4,411,387,24,0,0,0
ez,N5,3,200,4,41,39,2,0,0,0
sh,N8,1,800,3,600,573,27,582,576,6
sh,N8,1,1000,2,578,576,2,576,576,0
sh,N8,1,600,3,521,504,17,578,576,2
sh,N8,1,400,4,20,20,0,139,137,2
sh,N8,1,300,4,0,0,0,0,0,0
sh,N8,1,200,4,0,0,0,0,0,0
sh,N8,2,800,3,602,575,27,591,576,15
sh,N8,2,1000,2,591,576,15,579,575,4
sh,N8,2,600,3,533,511,22,590,576,14
sh,N8,2,400,4,21,20,1,184,181,3
sh,N8,2,300,4,0,0,0,0,0,0
sh,N8,2,200,4,0,0,0,0,0,0
sh,N8,3,800,3,588,575,13,593,576,17
sh,N8,3,1000,2,591,576,15,580,576,4
sh,N8,3,600,3,546,515,31,578,566,12
sh,N8,3,400,4,56,50,6,162,159,3
sh,N8,3,300,4,0,0,0,0,0,0
sh,N8,3,200,4,0,0,0,0,0,0
dd,N3,1,800,3,458,456,2,578,576,2
dd,N3,1,1000,2,0,0,0,576,576,0
dd,N3,1,600,3,456,456,0,578,576,2
dd,N3,1,400,4,621,608,13,394,389,5
dd,N3,1,300,4,412,398,14,0,0,0
dd,N3,1,200,4,84,72,12,0,0,0
dd,N3,2,800,3,456,456,0,599,576,23
dd,N3,2,1000,2,0,0,0,587,576,11
dd,N3,2,600,3,464,456,8,583,576,7
dd,N3,2,400,4,616,608,8,543,527,16
dd,N3,2,300,4,399,380,19,0,0,0
dd,N3,2,200,4,72,68,4,0,0,0
dd,N3,3,800,3,456,456,0,588,576,12
dd,N3,3,1000,2,0,0,0,589,576,13
dd,N3,3,600,3,460,456,4,585,576,9
dd,N3,3,400,4,628,608,20,498,491,7
dd,N3,3,300,4,406,389,17,0,0,0
dd,N3,3,200,4,88,72,16,0,0,0
dl,N4,1,800,3,593,571,22,579,576,3
dl,N4,1,1000,2,577,574,3,577,576,1
dl,N4,1,600,3,510,493,17,579,576,3
dl,N4,1,400,4,42,37,5,286,271,15
dl,N4,1,300,4,0,0,0,0,0,0
dl,N4,1,200,4,0,0,0,0,0,0
dl,N4,2,800,3,613,573,40,583,576,7
dl,N4,2,1000,2,587,576,11,578,576,2
dl,N4,2,600,3,537,504,33,589,576,13
dl,N4,2,400,4,22,16,6,268,245,23
dl,N4,2,300,4,0,0,0,0,0,0
dl,N4,2,200,4,0,0,0,0,0,0
dl,N4,3,800,3,604,576,28,588,576,12
dl,N4,3,1000,2,578,576,2,577,576,1
dl,N4,3,600,3,585,543,42,583,576,7
dl,N4,3,400,4,6,6,0,312,286,26
dl,N4,3,300,4,0,0,0,0,0,0
dl,N4,3,200,4,0,0,0,0,0,0
aj,N2,1,800,3,635,595,40,584,576,8
aj,N2,1,1000,2,576,576,0,577,576,1
aj,N2,1,600,3,550,533,17,578,576,2
aj,N2,1,400,4,187,181,6,273,266,7
aj,N2,1,300,4,0,0,0,0,0,0
aj,N2,1,200,4,0,0,0,0,0,0
aj,N2,2,800,3,602,576,26,587,576,11
aj,N2,2,1000,2,577,576,1,577,576,1
aj,N2,2,600,3,604,576,28,581,576,5
aj,N2,2,400,4,186,162,24,321,306,15
aj,N2,2,300,4,0,0,0,0,0,0
aj,N2,2,200,4,0,0,0,0,0,0
aj,N2,3,800,3,611,576,35,588,576,12
aj,N2,3,1000,2,578,576,2,576,576,0
aj,N2,3,600,3,595,570,25,582,576,6
aj,N2,3,400,4,161,151,10,327,303,24
aj,N2,3,300,4,0,0,0,0,0,0
aj,N2,3,200,4,0,0,0,0,0,0
kp,AS3,1,800,3,585,576,9,583,576,7
kp,AS3,1,1000,2,577,576,1,577,576,1
kp,AS3,1,600,3,547,539,8,583,576,7
kp,AS3,1,400,4,109,104,5,363,359,4
kp,AS3,1,300,4,0,0,0,0,0,0
kp,AS3,1,200,4,0,0,0,0,0,0
kp,AS3,2,800,3,598,576,22,611,576,35
kp,AS3,2,1000,2,583,576,7,612,576,36
kp,AS3,2,600,3,581,561,20,600,575,25
kp,AS3,2,400,4,175,163,12,426,410,16
kp,AS3,2,300,4,0,0,0,0,0,0
kp,AS3,2,200,4,0,0,0,0,0,0
kp,AS3,3,800,3,593,576,17,605,575,30
kp,AS3,3,1000,2,591,576,15,623,576,47
kp,AS3,3,600,3,600,576,24,614,576,38
kp,AS3,3,400,4,228,215,13,397,374,23
kp,AS3,3,300,4,0,0,0,0,0,0
kp,AS3,3,200,4,0,0,0,0,0,0
mg,AMS1,1,800,3,597,574,23,578,576,2
mg,AMS1,1,1000,2,575,575,0,576,576,0
mg,AMS1,1,600,3,488,484,4,582,576,6
mg,AMS1,1,400,4,62,60,2,219,214,5
mg,AMS1,1,300,4,0,0,0,0,0,0
mg,AMS1,1,200,4,0,0,0,0,0,0
mg,AMS1,2,800,3,582,576,6,576,576,0
mg,AMS1,2,1000,2,574,574,0,576,576,0
mg,AMS1,2,600,3,565,554,11,579,576,3
mg,AMS1,2,400,4,90,86,4,229,222,7
mg,AMS1,2,300,4,0,0,0,0,0,0
mg,AMS1,2,200,4,0,0,0,0,0,0
mg,AMS1,3,800,3,587,576,11,577,576,1
mg,AMS1,3,1000,2,576,576,0,576,576,0
mg,AMS1,3,600,3,568,558,10,577,576,1
mg,AMS1,3,400,4,104,99,5,234,228,6
mg,AMS1,3,300,4,0,0,0,0,0,0
mg,AMS1,3,200,4,0,0,0,0,0,0
bb,AS1,1,800,3,463,421,42,581,576,5
bb,AS1,1,1000,2,258,258,0,576,576,0
bb,AS1,1,600,3,317,302,15,546,542,4
bb,AS1,1,400,4,308,286,22,141,141,0
bb,AS1,1,300,4,65,57,8,0,0,0
bb,AS1,1,200,4,0,0,0,0,0,0
bb,AS1,2,800,3,474,412,62,609,576,33
bb,AS1,2,1000,2,293,256,37,585,569,16
bb,AS1,2,600,3,340,277,63,614,561,53
bb,AS1,2,400,4,240,177,63,58,50,8
bb,AS1,2,300,4,0,0,0,0,0,0
bb,AS1,2,200,4,0,0,0,0,0,0
bb,AS1,3,800,3,489,425,64,619,576,43
bb,AS1,3,1000,2,282,256,26,584,576,8
bb,AS1,3,600,3,375,291,84,587,551,36
bb,AS1,3,400,4,279,199,80,18,12,6
bb,AS1,3,300,4,0,0,0,0,0,0
bb,AS1,3,200,4,0,0,0,0,0,0
co,AA2,1,800,3,580,576,4,576,576,0
co,AA2,1,1000,2,574,570,4,576,576,0
co,AA2,1,600,3,582,576,6,576,576,0
co,AA2,1,400,4,191,184,7,245,244,1
co,AA2,1,300,4,0,0,0,0,0,0
co,AA2,1,200,4,0,0,0,0,0,0
co,AA2,2,800,3,585,576,9,581,576,5
co,AA2,2,1000,2,579,576,3,576,576,0
co,AA2,2,600,3,588,576,12,543,533,10
co,AA2,2,400,4,171,154,17,207,202,5
co,AA2,2,300,4,0,0,0,0,0,0
co,AA2,2,200,4,0,0,0,0,0,0
co,AA2,3,800,3,594,576,18,484,480,4
co,AA2,3,1000,2,577,576,1,573,566,7
co,AA2,3,600,3,600,573,27,481,480,1
co,AA2,3,400,4,156,138,18,184,183,1
co,AA2,3,300,4,0,0,0,0,0,0
co,AA2,3,200,4,0,0,0,0,0,0
ky,AA3,1,800,3,582,576,6,578,575,3
ky,AA3,1,1000,2,577,576,1,576,576,0
ky,AA3,1,600,3,546,540,6,577,575,2
ky,AA3,1,400,4,210,201,9,79,78,1
ky,AA3,1,300,4,0,0,0,0,0,0
ky,AA3,1,200,4,0,0,0,0,0,0
ky,AA3,2,800,3,585,575,10,583,576,7
ky,AA3,2,1000,2,576,576,0,576,576,0
ky,AA3,2,600,3,576,557,19,584,576,8
ky,AA3,2,400,4,182,170,12,117,107,10
ky,AA3,2,300,4,0,0,0,0,0,0
ky,AA3,2,200,4,0,0,0,0,0,0
ky,AA3,3,800,3,588,576,12,582,576,6
ky,AA3,3,1000,2,577,576,1,576,576,0
ky,AA3,3,600,3,591,576,15,580,576,4
ky,AA3,3,400,4,208,187,21,139,131,8
ky,AA3,3,300,4,0,0,0,0,0,0
ky,AA3,3,200,4,0,0,0,0,0,0
tp,AS4,1,800,3,605,558,47,586,576,10
tp,AS4,1,1000,2,577,576,1,577,576,1
tp,AS4,1,600,3,213,197,16,585,576,9
tp,AS4,1,400,4,0,0,0,175,151,24
tp,AS4,1,300,4,0,0,0,0,0,0
tp,AS4,1,200,4,0,0,0,0,0,0
tp,AS4,2,800,3,335,246,89,657,574,83
tp,AS4,2,1000,2,839,654,185,593,576,17
tp,AS4,2,600,3,0,0,0,552,471,81
tp,AS4,2,400,4,0,0,0,0,0,0
tp,AS4,2,300,4,0,0,0,0,0,0
tp,AS4,2,200,4,0,0,0,0,0,0
tp,AS4,3,800,3,348,252,96,694,570,124
tp,AS4,3,1000,2,899,725,174,651,575,76
tp,AS4,3,600,3,3,3,0,432,360,72
tp,AS4,3,400,4,0,0,0,0,0,0
tp,AS4,3,300,4,0,0,0,0,0,0
tp,AS4,3,200,4,0,0,0,0,0,0
mb,AA4,1,800,3,694,598,96,576,576,0
mb,AA4,1,1000,2,577,576,1,576,576,0
mb,AA4,1,600,3,442,423,19,576,576,0
mb,AA4,1,400,4,27,26,1,293,292,1
mb,AA4,1,300,4,0,0,0,0,0,0
mb,AA4,1,200,4,0,0,0,0,0,0
mb,AA4,2,800,3,676,575,101,583,576,7
mb,AA4,2,1000,2,577,576,1,576,576,0
mb,AA4,2,600,3,463,426,37,578,576,2
mb,AA4,2,400,4,18,17,1,281,276,5
mb,AA4,2,300,4,0,0,0,0,0,0
mb,AA4,2,200,4,0,0,0,0,0,0
mb,AA4,3,800,3,621,576,45,582,576,6
mb,AA4,3,1000,2,576,576,0,576,576,0
mb,AA4,3,600,3,545,505,40,580,576,4
mb,AA4,3,400,4,17,17,0,278,272,6
mb,AA4,3,300,4,0,0,0,0,0,0
mb,AA4,3,200,4,0,0,0,0,0,0
jz,ASW1,1,800,3,586,574,12,581,576,5
jz,ASW1,1,1000,2,576,576,0,577,576,1
jz,ASW1,1,600,3,553,546,7,579,576,3
jz,ASW1,1,400,4,187,177,10,371,361,10
jz,ASW1,1,300,4,0,0,0,0,0,0
jz,ASW1,1,200,4,0,0,0,0,0,0
jz,ASW1,2,800,3,590,575,15,581,576,5
jz,ASW1,2,1000,2,581,576,5,577,576,1
jz,ASW1,2,600,3,599,576,23,583,576,7
jz,ASW1,2,400,4,196,189,7,394,378,16
jz,ASW1,2,300,4,0,0,0,0,0,0
jz,ASW1,2,200,4,0,0,0,0,0,0
jz,ASW1,3,800,3,595,576,19,588,576,12
jz,ASW1,3,1000,2,579,576,3,577,576,1
jz,ASW1,3,600,3,591,575,16,583,576,7
jz,ASW1,3,400,4,200,191,9,378,352,26
jz,ASW1,3,300,4,0,0,0,0,0,0
jz,ASW1,3,200,4,0,0,0,0,0,0
by,AA1,1,800,3,587,576,11,578,576,2
by,AA1,1,1000,2,576,576,0,576,576,0
by,AA1,1,600,3,573,568,5,579,576,3
by,AA1,1,400,4,73,72,1,290,284,6
by,AA1,1,300,4,0,0,0,0,0,0
by,AA1,1,200,4,0,0,0,0,0,0
by,AA1,2,800,3,597,576,21,589,576,13
by,AA1,2,1000,2,576,575,1,581,576,5
by,AA1,2,600,3,561,539,22,582,576,6
by,AA1,2,400,4,102,93,9,233,224,9
by,AA1,2,300,4,0,0,0,0,0,0
by,AA1,2,200,4,0,0,0,0,0,0
by,AA1,3,800,3,590,575,15,590,576,14
by,AA1,3,1000,2,576,576,0,576,576,0
by,AA1,3,600,3,584,570,14,584,576,8
by,AA1,3,400,4,102,97,5,256,240,16
by,AA1,3,300,4,0,0,0,0,0,0
by,AA1,3,200,4,0,0,0,0,0,0
et,AS2,1,800,3,766,568,198,579,576,3
et,AS2,1,1000,2,571,570,1,579,576,3
et,AS2,1,600,3,508,416,92,579,576,3
et,AS2,1,400,4,46,38,8,282,273,9
et,AS2,1,300,4,0,0,0,0,0,0
et,AS2,1,200,4,0,0,0,0,0,0
et,AS2,2,800,3,836,615,221,588,576,12
et,AS2,2,1000,2,579,576,3,579,576,3
et,AS2,2,600,3,512,401,111,589,576,13
et,AS2,2,400,4,60,54,6,346,319,27
et,AS2,2,300,4,0,0,0,0,0,0
et,AS2,2,200,4,0,0,0,0,0,0
et,AS2,3,800,3,809,599,210,586,576,10
et,AS2,3,1000,2,580,576,4,578,576,2
et,AS2,3,600,3,561,424,137,585,576,9
et,AS2,3,400,4,68,60,8,342,315,27
et,AS2,3,300,4,0,0,0,0,0,0
et,AS2,3,200,4,0,0,0,0,0,0
